24,1800,,,
28,1800,,,
419,170,,,
453,170,,,
466,240,,,
473,240,,,
536,276,,,
547,660,,,
549,292,,,
635,448,,,
645,456,,,
646,452,,,
647,450,,,
663,453,,,
1062,300,,,
1088,300,,,
1100,303,,,
1118,300,,,
1218,616,,,
1222,331,,,
1231,329,,,
1233,331,,,
1240,329,,,
1244,622,,,
1400,1020,,,
1404,1020,,,
1572,780,,,
1577,780,,,
1650,1800,,,
1656,1800,,,
1667,720,,,
1668,720,,,
2052,360,,,
2068,370,,,
2185,660,,,
2190,660,,,
2509,366,,,
2517,495,,,
2522,480,,,
2523,480,,,
3336,334,,,
3344,660,,,
3345,326,,,
3349,660,,,
